trade_mode,sma_period,profit_target,trades,profit,max_drawdown,profit/abs(maxDD)
both,0,2.2,2937,359.65,-57.97,6.2042
both,0,2.6,2937,376.8,-64.44,5.847
both,0,2.4,2937,360.4,-64.66,5.5734
both,0,2.0,2937,342.46,-62.63,5.4682
both,0,1.8,2937,333.14,-62.51,5.3298
buy,0,1.4,1529,207.86,-42.81,4.8558
both,0,1.4,2937,306.59,-64.84,4.7281
sell,0,2.6,1408,170.74,-36.44,4.6857
both,0,1.6,2937,303.52,-66.3,4.5783
buy,0,1.6,1529,201.83,-46.86,4.3076
buy,0,2.2,1529,204.97,-48.38,4.2365
both,0,1.2,2937,297.18,-70.61,4.2089
buy,0,1.2,1529,196.77,-47.11,4.177
buy,0,2.0,1529,200.48,-48.41,4.1417
buy,0,1.8,1529,201.23,-49.52,4.0635
sell,0,2.2,1408,154.68,-38.09,4.0609
buy,0,2.6,1529,206.06,-50.92,4.0471
buy,0,2.4,1529,205.55,-50.92,4.0372
sell,0,2.4,1408,154.84,-40.63,3.8108
buy,0,0.8,1529,162.02,-44.16,3.6691
buy,0,1.0,1529,183.67,-53.22,3.4511
buy,0,0.0,1529,222.71,-64.9,3.4316
sell,0,1.8,1408,131.92,-42.24,3.1233
both,0,1.0,2937,243.7,-79.11,3.0806
both,0,0.0,2937,330.33,-107.42,3.0753
sell,0,2.0,1408,141.98,-50.41,2.8168
buy,0,0.6,1529,145.24,-52.44,2.7696
sell,0,1.2,1408,100.41,-40.75,2.4642
sell,0,1.4,1408,98.73,-48.6,2.0316
both,0,0.6,2937,173.98,-89.88,1.9357
sell,0,1.6,1408,101.69,-55.02,1.8481
both,0,0.8,2937,174.82,-100.31,1.7429
sell,0,0.0,1408,107.62,-66.68,1.6141
sell,0,1.0,1408,60.03,-39.45,1.5217
both,0,0.4,2937,118.04,-82.1,1.4378
sell,0,0.4,1408,54.81,-45.68,1.1999
buy,0,0.2,1529,57.24,-58.52,0.9781
both,0,0.2,2937,70.87,-77.8,0.9109
buy,0,0.4,1529,63.24,-83.53,0.757
sell,0,0.6,1408,28.74,-57.06,0.5037
sell,0,0.2,1408,13.63,-43.96,0.3101
sell,0,0.8,1408,12.8,-65.54,0.1953
