datetime,open,high,low,close
1/2/14 2:30 PM,87.55,87.58,87.09,87.2
1/2/14 3:30 PM,87.19,87.45,87.12,87.39
1/2/14 4:30 PM,87.39,87.39,87.14,87.17
1/2/14 5:30 PM,87.18,87.3,87.13,87.14
1/2/14 6:30 PM,87.15,87.28,87.02,87.09
1/2/14 7:30 PM,87.09,87.33,87.08,87.21
1/2/14 8:30 PM,87.21,87.3,87.16,87.28
1/3/14 2:30 PM,87.28,87.35,87.11,87.14
1/3/14 3:30 PM,87.13,87.22,86.8,86.8
1/3/14 4:30 PM,86.8,86.845,86.63,86.68
1/3/14 5:30 PM,86.69,86.77,86.67,86.72
1/3/14 6:30 PM,86.7,86.77,86.66,86.74
1/3/14 7:30 PM,86.76,86.96,86.74,86.93
1/3/14 8:30 PM,86.94,86.95,86.63,86.63
1/6/14 2:30 PM,86.65,86.76,86.135,86.31
1/6/14 3:30 PM,86.31,86.35,86,86.11
1/6/14 4:30 PM,86.12,86.275,86.06,86.21
1/6/14 5:30 PM,86.2,86.27,86.1,86.17
1/6/14 6:30 PM,86.18,86.49,86.15,86.42
1/6/14 7:30 PM,86.43,86.6,86.42,86.56
1/6/14 8:30 PM,86.555,86.57,86.33,86.33
1/7/14 2:30 PM,86.7,87.06,86.57,87.02
1/7/14 3:30 PM,87.03,87.11,87,87.02
1/7/14 4:30 PM,87,87.07,86.9,86.99
1/7/14 5:30 PM,87,87.11,86.99,87.11
1/7/14 6:30 PM,87.1,87.13,86.85,86.92
1/7/14 7:30 PM,86.92,87.2,86.92,87.17
1/7/14 8:30 PM,87.17,87.24,87.085,87.1
1/8/14 2:30 PM,87.13,87.42,86.95,87.4
1/8/14 3:30 PM,87.41,87.54,87.3,87.35
1/8/14 4:30 PM,87.37,87.52,87.37,87.41
1/8/14 5:30 PM,87.41,87.45,87.32,87.4
1/8/14 6:30 PM,87.4,87.51,87.3,87.4
1/8/14 7:30 PM,87.38,87.45,87.08,87.08
1/8/14 8:30 PM,87.07,87.36,87.06,87.33
1/9/14 2:30 PM,87.62,87.64,87.16,87.2
1/9/14 3:30 PM,87.2,87.24,86.76,86.87
1/9/14 4:30 PM,86.86,86.99,86.82,86.98
1/9/14 5:30 PM,87,87.14,87,87.08
1/9/14 6:30 PM,87.09,87.11,86.72,86.87
1/9/14 7:30 PM,86.86,87.1,86.78,87.02
1/9/14 8:30 PM,87.03,87.07,86.92,87
1/10/14 2:30 PM,87.25,87.39,86.75,87.04
1/10/14 3:30 PM,87.05,87.06,86.7,86.73
1/10/14 4:30 PM,86.72,86.865,86.59,86.79
1/10/14 5:30 PM,86.78,86.95,86.75,86.93
1/10/14 6:30 PM,86.92,87.01,86.85,86.92
1/10/14 7:30 PM,86.92,87.16,86.9,87.16
1/10/14 8:30 PM,87.16,87.305,87.16,87.3
1/13/14 2:30 PM,87.18,87.47,87.13,87.44
1/13/14 3:30 PM,87.45,87.48,87.36,87.41
1/13/14 4:30 PM,87.41,87.46,87.15,87.17
1/13/14 5:30 PM,87.15,87.15,86.73,86.84
1/13/14 6:30 PM,86.83,86.85,86.45,86.47
1/13/14 7:30 PM,86.45,86.49,85.76,85.9
1/13/14 8:30 PM,85.9,86.04,85.68,86.02
1/14/14 2:30 PM,86.31,86.79,86.31,86.76
1/14/14 3:30 PM,86.78,87.29,86.715,87.23
1/14/14 4:30 PM,87.23,87.53,87.18,87.5
1/14/14 5:30 PM,87.51,87.63,87.44,87.53
1/14/14 6:30 PM,87.53,87.66,87.45,87.58
1/14/14 7:30 PM,87.6,87.69,87.56,87.68
1/14/14 8:30 PM,87.68,87.71,87.63,87.65
1/15/14 2:30 PM,88,88.37,87.94,88.29
1/15/14 3:30 PM,88.32,88.49,88.15,88.25
1/15/14 4:30 PM,88.26,88.46,88.26,88.42
1/15/14 5:30 PM,88.43,88.43,88.3,88.33
1/15/14 6:30 PM,88.33,88.48,88.26,88.44
1/15/14 7:30 PM,88.45,88.54,88.35,88.42
1/15/14 8:30 PM,88.43,88.44,88.325,88.35
1/16/14 2:30 PM,88.29,88.47,88.16,88.45
1/16/14 3:30 PM,88.46,88.46,88.17,88.34
1/16/14 4:30 PM,88.35,88.405,88.23,88.31
1/16/14 5:30 PM,88.33,88.5,88.31,88.48
1/16/14 6:30 PM,88.47,88.48,88.32,88.4
1/16/14 7:30 PM,88.4,88.44,88.31,88.34
1/16/14 8:30 PM,88.34,88.42,88.25,88.405
1/17/14 2:30 PM,88.12,88.28,87.93,88.12
1/17/14 3:30 PM,88.115,88.3,88.08,88.23
1/17/14 4:30 PM,88.24,88.37,88.2,88.315
1/17/14 5:30 PM,88.32,88.32,88.035,88.06
1/17/14 6:30 PM,88.07,88.13,88.01,88.09
1/17/14 7:30 PM,88.08,88.08,87.77,87.8
1/17/14 8:30 PM,87.79,87.925,87.67,87.88
1/21/14 2:30 PM,88.43,88.585,88.2,88.27
1/21/14 3:30 PM,88.26,88.29,87.81,88
1/21/14 4:30 PM,87.99,88.21,87.91,88.2
1/21/14 5:30 PM,88.2,88.375,88.19,88.33
1/21/14 6:30 PM,88.34,88.48,88.34,88.4
1/21/14 7:30 PM,88.4,88.51,88.37,88.42
1/21/14 8:30 PM,88.41,88.56,88.4,88.56
1/22/14 2:30 PM,88.76,88.82,88.53,88.78
1/22/14 3:30 PM,88.78,88.82,88.59,88.72
